ObjectID,GlobalID,ParentGlobalID,Monitoring Date,Monitor Names,Location,Pool ID,Zone,Quadrat ID,Quadrat Notes,Percent Bare Ground,Percent Thatch,Thatch Depth,Native Species Richness,Sum of Native Cover,Nonnative Species Richness,Sum of Nonnative Cover,Sum of All Cover,CreationDate,Creator,EditDate,Editor,x,y,Year,Treatment,Seeded,Native Status,Species,Percent Cover,CreationDate,Creator,EditDate,Editor
2675,0b48f8d8-27d2-42bd-bb71-945e7f5ca245,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Bromus_hordeaceus,3,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2673,0e7f4c71-1a9b-4803-b269-8573c1fc56ab,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Avena_fatua,2,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2679,13921343-da07-48aa-8ef8-cfd3e6cada2e,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Festuca_bromoides,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
1256,2d6db28e-2d41-4abc-b83c-d45dc29b75d3,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,native,Distichlis_spicata,5,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2672,3b3afae4-aa80-4c31-b051-b6d9e40cc263,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Festuca_perennis,2,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2680,4d50c696-3eae-4d3d-a52f-06b9b466368f,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Vicia_villosa,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2677,6f74e567-21aa-488d-9b3b-e07b2602d960,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Bromus_diandrus,2,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2674,e9640e64-08a7-4cea-80af-c0667acf1096,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Erodium_botrys,9,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2676,ecda461f-afbc-4966-b4a8-09a4874bff47,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Plantago_lanceolata,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2678,f923ba80-876a-47d7-8083-43ccf64c80e8,0003ad86-c9eb-459f-a200-b946996b9d2c,5/13/21,Joanna Tang,del_sol,L,edge,LE4,0,67,16,0.25,1,5,9,22,110,44330.04292,joannatang@umail.ucsb.edu_ucsb,44330.04292,joannatang@umail.ucsb.edu_ucsb,-119.8651407,34.41684805,2021,,,nonnative,Lysimachia_arvensis,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
1234,0a5fb3a0-010a-4bf4-a07d-cab942bd0696,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,native,Stipa_pulchra,5,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2630,3918c07b-47f7-4b4c-8299-85668104ddb1,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,nonnative,Hordeum_marinum,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2628,3da575b8-6a96-4045-8ef9-975154a676b6,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,nonnative,Erodium_botrys,2,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2625,59bb8cd3-d4f6-4af5-8800-8dfb3084e03b,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,nonnative,Festuca_perennis,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2631,63448755-ac66-4345-a735-230069c79a70,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,nonnative,Festuca_myuros,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
1235,7acb84c0-bc8c-42f3-b1c6-0d82ca0ffd2e,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,native,Grindelia_camporum,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
2629,9f2bb350-6a00-46bd-83eb-20daac06eb3e,001518c3-eef1-4919-8fd5-39a61bd481e4,5/13/21,Joanna Tang,del_sol,L,transition,LT1,Grindelia camporum seedlings,45,37,0.25,5,12,7,9,103,44330.04279,joannatang@umail.ucsb.edu_ucsb,44330.04279,joannatang@umail.ucsb.edu_ucsb,-119.8652462,34.4169263,2021,,,nonnative,Vicia_villosa,1,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb,5/14/21 1:01,joannatang@umail.ucsb.edu_ucsb
